DEPT_DESCRSHORT	SUBJECT	DIVISION
EDUC	EDINDSTD	SS
EDUC	EDSPCL	SS
EDUC	EDBEHAVR	SS
EDUC	EDPHYS	SS
EDUC	EDPROF	SS
EDUC	EDSOCPSY	SS
ELandL	ENGLISH	H
ELandL	ECB	H
Electrical	EECS	E
ELI	ELI	H
ENGIN	HUM	E
ENGIN	CICE	E
Engineerin	ENTR	E
Engineerin	ENGR	E
EnginStAbd	ENGINSA	E
ENSCEN	ENSCEN	NA
Environmen	EHS	S
Environmen	EHS	S
Environmen	EIHLTH	S
Environmen	EIHLTH	S
Environmen	NUTR	S
Environmen	NUTR	S
Environmen	ENVIRON	S
Environmen	ENVIRON	S
Epidemiolo	EPID	S
Exhibit Mu	MUSMETH	H
Germanic L	GERMAN	H
Germanic L	SCAND	H
Germanic L	DUTCH	H
Health Man	HMP	SS
Health Man	HLTSRVMP	SS
History De	HISTORY	H
History Of	MUSEUMS	H
History Of	HISTART	H
Hlth Beh&H	HBEHED	SS
Honors Pro	HONORS	O
Human Gene	HUMGEN	S
Humanities	INSTHUM	H
Industrial	IOE	E
INFOR	SI	S
Int Med-Ge	HHCR	S
Int Sys&De	AUTO	E
Int Sys&De	RAV	E
Int Sys&De	ISD	E
Int Sys&De	ESENG	E
Int Sys&De	FINENG	E
Int Sys&De	SEND	E
InteflxLSA	INTEFLEX	O
Inter Inst	CICS	SS
Inter Inst	INTLSTD	SS
Internal M	INTMED	S
Judaic Stu	JUDAIC	H
Judaic Stu	YIDDISH	H
KINES	SPTMGMTC	S
KINES	KINESLGY	S
KINES	HF	S
KINES	PHYSEDUC	S
KINES	MOVESCI	S
KINES	AT	S
KINES	KINSTUDY	S
KINES	PHYSED	S
KINES	SM	S
L S & A	POPSTD	O
L S & A	COLLEGE	O
L S & A	JOURN	O
L S & A	SPEECH	O
L S & A	CCP	O
L S & A	AMERINST	O
L S & A	GEOG	O
L S & A	THTRELSA	O
L S & A	INTINS	O
Latin Amer	LACS	H
Law School	LAW	P
Linguistic	LING	SS
Linguistic	COGSCI	SS
Lloyd Hall	LHSP	O
LS&A First	UC	O
Macromolec	MACROMOL	E
Manufact	MFG	E
Mat Sc & E	MATSCIE	E
Mathematic	MATH	S
Mech Eng &	MECHENG	E
Mech Eng &	AMES	E
Med&EMS	MEMS	H
Med&EMS	MARC	H
Medical Sc	MEDICINE	SS
Medical Sc	MEDICINE	P
Medical Sc	PHYSMED	SS
Medical Sc	PHYSMED	P
Medical Sc	FAMMED	SS
Medical Sc	FAMMED	P
Medical Sc	CLNHLSC	SS
Medical Sc	CLNHLSC	P
Medical Sc	PHYSACOU	SS
Medical Sc	PHYSACOU	P
Medical Sc	CLININST	SS
Medical Sc	CLININST	P
Medical Sc	MEDADM	SS
Medical Sc	MEDADM	P
Medical Sc	EMERGMED	SS
Medical Sc	EMERGMED	P
Medical Sc	RADIOL	SS
Medical Sc	RADIOL	P
Medical Sc	IMMUNO	SS
Medical Sc	IMMUNO	P
Medical Sc	MEDELECT	SS
Medical Sc	MEDELECT	P
Medical Sc	NEUBEHS	SS
Medical Sc	NEUBEHS	P
Medical Sc	INTERPHA	SS
Medical Sc	INTERPHA	P
Medical Sc	MEDPH	SS
Medical Sc	MEDPH	P
Medical Sc	INFLXMED	SS
Medical Sc	INFLXMED	P
Microbiolo	MICRBIOL	S
MidE&NAf	MENAS	H
Molec	MCDB	S
Mus of Art	MUSPRACT	H
Music	DBLBASS	H
Music	MUSHON	H
Music	FRENHORN	H
Music	MUSICOL	H
Music	BAROBOE	H
Music	EARLYMUS	H
Music	STDEXCH	H
Music	CHURCHMU	H
Music	WINDINST	H
Music	HARPSCH	H
Music	CLARINET	H
Music	BAROQVIO	H
Music	PIANO	H
Music	BASSOON	H
Music	COMPOLIT	H
Music	PIANOLP	H
Music	ARTSADMN	H
Music	CONDUCT	H
Music	TROMBONE	H
Music	EUPHBARI	H
Music	OPERA	H
Music	EVOCPRAC	H
Music	SAX	H
Music	ORGANLIT	H
Music	VOICELIT	H
Music	VOICE	H
Music	BARVIOLA	H
Music	ENS	H
Music	WKSHOPS	H
Music	CORNETTO	H
Music	THEORY	H
Music	CRLLNLIT	H
Music	STRNGLIT	H
Music	TUBA	H
Music	PERCUSS	H
Music	FPIANO	H
Music	BARCELLO	H
Music	BARFLUTE	H
Music	OBOE	H
Music	COMP	H
Music	SHAWM	H
Music	MUSED	H
Music	WINDPERC	H
Music	GUITAR	H
Music	MUSPERF	H
Music	MUSIC	H
Music	STRINGS	H
Music	ORGAN	H
Music	SACKBUT	H
Music	VIOLIN	H
Music	MUSTHTRE	H
Music	JAZZ	H
Music	RECORDER	H
Music	VDAGAMBA	H
Music	CARILLON	H
Music	CELLO	H
Music	HARP	H
Music	FLUTE	H
Music	TRUM	H
Music	PAT	H
Music	VIOLA	H
Music	CRUMHORN	H
N East Std	PERSIAN	H
N East Std	NESLANG	H
N East Std	IRANIAN	H
N East Std	HJCS	H
N East Std	ACABS	H
N East Std	HEBREW	H
N East Std	TURKISH	H
N East Std	ARABIC	H
N East Std	NES	H
N East Std	AAPTIS	H
N East Std	ANCBIBL	H
N East Std	NELC	H
N East Std	ARMENIAN	H
N East Std	NEAREAST	H
NA O E	NAVSCI	O
Naval Arch	NAVARCH	E
Neurology	NEUROL	S
Neuroscien	NEUROSCI	S
Neurosurg	NEUSURG	S
NR & E	NRANMAQ	S
NR & E	NRPLANTS	S
NR & E	NRE	S
NR & E	NRANLYTC	S
NR & E	NRINDI	S
NR & E	NRMGMT	S
NR & E	NRINTRO	S
NR & E	NRRESPL	S
NR & E	NRBECOM	S
NR & E	NRPOLEC	S
NR & E	NRLA	S
NR & E	NRECOL	S
NR & E	UTEP	S
Nuclear En	NERS	E
NURS	PNE	P
NURS	HS	P
NURS	NSC	P
NURS	NURS	P
Obstetrics	OBSTGYN	NA
Ophthalmol	OPHTH	S
Org Study	ORGSTUDY	SS
Orthopaed	ORTHSURG	NA
Otorhinola	OTO	NA
Pathology	PATH	S
Pediatrics	PEDIAT	NA
Pg Medicin	PGMED	SS
Pg Medicin	MEDEDUC	SS
PHARM	HOSPPHAR	P
PHARM	PHARMSCI	P
PHARM	PHARMCOG	P
PHARM	SOCADMIN	P
PHARM	PHARMCHM	P
PHARM	PHARMADM	P
PHARM	PHARMCEU	P
PHARM	PHARMACY	P
PHARM	MEDCHEM	P
Pharmacolo	PHRMACOL	S
Philosophy	PPE	H
Philosophy	PHIL	H
Physical M	PMR	S
Physics De	PHYSICS	S
Physiology	PHYSIOL	S
Political	POLSCI	SS
Psychiatry	PSYCHIAT	NA
Psychology	PSYCH	SS
PUB HL	MTRNCHLD	SS
PUB HL	PUBHLTH	SS
PUB HL	CHLFHLT	SS
PUB HL	HOSPAD	SS
PUB HL	TOXICOL	SS
PUB HL	HLTGERON	SS
PUB HL	HUMNNUTR	SS
PUB HL	DENTPH	SS
PUB HL	COMMMNTL	SS
PUB HL	MEDCARE	SS
PUB HL	POPINTH	SS
PUB HL	PHPOLAD	SS
RACK	CHEMBIO	O
RACK	RACKHAM	O
RACK	MSP	O
Radiation	RADONCO	NA
Registrar	DELCOMP	O
Registrar	DBIOL	O
Registrar	DMKTG	O
Registrar	DMIS	O
Registrar	DART	O
Registrar	DEDK	O
Registrar	FSPEECH	O
Registrar	DAUTOENG	O
Registrar	DBUSAD	O
Registrar	DMUSTHY	O
Registrar	DMGT	O
Registrar	DMECHENG	O
Registrar	DSOCSCI	O
Registrar	DANTHRO	O
Registrar	DCPTINFO	O
Registrar	CIC	O
Registrar	DJOURN	O
Registrar	DEDD	O
Registrar	FANTHR	O
Registrar	DANTHR	O
Registrar	FECON	O
Registrar	DACCTG	O
Registrar	FBUSAD	O
Registrar	DEDN	O
Registrar	DPUBADM	O
Registrar	DMATH	O
Registrar	DOPERMGT	O
Registrar	DCOMM	O
Registrar	DSPEECH	O
Registrar	DEXPL	O
Registrar	DHUM	O
Registrar	DISE	O
Registrar	DINTRDIS	O
Registrar	FSOC	O
Registrar	DEDC	O
Registrar	PGMGMT	O
Registrar	FHLTHC	O
Registrar	DSOC	O
Registrar	DFINANCE	O
Registrar	FMATH	O
Registrar	DHIST	O
Registrar	DPHIL	O
Registrar	DCOMPMAT	O
Registrar	DLIBLSTD	O
Registrar	DPROFED	O
Registrar	DEDB	O
Registrar	DPOLSCI	O
Registrar	DENGIN	O
Registrar	DENVSC	O
Registrar	DEM	O
Registrar	DHISTART	O
Registrar	DPHYSICS	O
Registrar	DBUSECON	O
Registrar	FPUBADM	O
Registrar	FAMCULT	O
Registrar	DNATSCI	O
Registrar	DPSYCH	O
Registrar	CLASSTD	O
Registrar	DFORLANG	O
Registrar	DSTAT	O
Registrar	DEDA	O
Relig	RELIGION	H
RESCO	RCIDIV	O
RESCO	RCLANG	O
RESCO	RCNSCI	O
RESCO	ENVRNSTD	O
RESCO	RCMATH	O
RESCO	RCISCI	O
RESCO	RCCORE	O
RESCO	RCARTS	O
RESCO	RCHUMS	O
RESCO	RCASL	O
RESCO	RCSSCI	O
Romance La	PORTUG	H
Romance La	ROMANIAN	H
Romance La	ITALIAN	H
Romance La	SPANISH	H
Romance La	ROMLANG	H
Romance La	ROMLING	H
Romance La	FRENCH	H
S Asian St	SAS	H
S C F W	WRITING	O
S C F W	SWC	O
ScArts&Cul	SAC	H
ScArts&Cul	FILMVID	H
SE Asian S	SEAS	H
Slavic Lan	POLISH	H
Slavic Lan	SERBOCRO	H
Slavic Lan	BCS	H
Slavic Lan	UKRAINE	H
Slavic Lan	UKR	H
Slavic Lan	SLAVIC	H
Slavic Lan	CZECH	H
Slavic Lan	RUSSIAN	H
SOC WK	HLTH	SS
SOC WK	FOS	SS
SOC WK	SOCWELF	SS
SOC WK	UNDG	SS
SOC WK	COMORG	SS
SOC WK	RES	SS
SOC WK	ADMIN	SS
SOC WK	EVAL	SS
SOC WK	INTP	SS
SOC WK	MHS	SS
SOC WK	AG	SS
SOC WK	HB	SS
SOC WK	DOC	SS
SOC WK	SPEC	SS
SOC WK	P&E	SS
SOC WK	POLPLAN	SS
SOC WK	CSS	SS
SOC WK	ADELD	SS
SOC WK	SOCWK	SS
SOC WK	SW	SS
SOC WK	MHLTH	SS
SOC WK	IP	SS
SOC WK	CHLDY	SS
SOC WK	SWPS	SS
Sociology	SOC	SS
SPP	PUBPOL	SS
SRC-PSM Gr	SURVMETH	O
Statistics	STATS	S
StdyAbroad	STDABRD	O
Surgery De	SURGERY	NA
Tech Comm	TCHNCLCM	E
Theatre An	THTREMUS	H
U-Move	UMOVE	O
Urology Su	UROLOGY	NA
Women's St	WOMENSTD	H
